序号-时间	进程名	进程ID	动作	路径	参数	结果	
123-17:49:52.3079118	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{370A1D5D-DDEB-418C-81CD-189E0D4FA443}\CLSID	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{370A1D5D-DDEB-418C-81CD-189E0D4FA443} 	0x00000000 [操作成功完成。  ]	
124-17:49:52.3079118	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{370A1D5D-DDEB-418C-81CD-189E0D4FA443}\FilterData	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{370A1D5D-DDEB-418C-81CD-189E0D4FA443} 	0x00000000 [操作成功完成。  ]	
125-17:49:52.3079118	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{370A1D5D-DDEB-418C-81CD-189E0D4FA443}	-	0x00000000 [操作成功完成。  ]	
126-17:49:52.3079118	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Instance\VBI Codec\FriendlyName	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Instance\VBI Codec 	0x00000000 [操作成功完成。  ]	
127-17:49:52.3088730	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Instance\VBI Codec\CLSID	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Instance\VBI Codec 	0x00000000 [操作成功完成。  ]	
128-17:49:52.3088730	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Instance\VBI Codec\FilterData	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Instance\VBI Codec 	0x00000000 [操作成功完成。  ]	
129-17:49:52.3088730	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Instance\VBI Codec	-	0x00000000 [操作成功完成。  ]	
130-17:49:52.3088730	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Instance	-	0x00000000 [操作成功完成。  ]	
131-17:49:52.3088730	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{9C24A977-0951-451A-8006-0E49BD28CD5F}	-	0x00000000 [操作成功完成。  ]	
132-17:49:52.3088730	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{da4e3da0-d07d-11d0-bd50-00a0c911ce86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F}\CLSID	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{da4e3da0-d07d-11d0-bd50-00a0c911ce86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F} 	0x00000000 [操作成功完成。  ]	
