序号-时间	进程名	进程ID	动作	路径	参数	结果	
71-20:09:03.8541857	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f20eb5-8fd6-4d9d-b75e-36801766c8f1}\TypeLib	-	0x00000000 [操作成功完成。  ]	
72-20:09:03.8541857	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f20eb5-8fd6-4d9d-b75e-36801766c8f1}\Version	-	0x00000000 [操作成功完成。  ]	
73-20:09:03.8551780	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f20eb5-8fd6-4d9d-b75e-36801766c8f1}\VersionIndependentProgID	-	0x00000000 [操作成功完成。  ]	
74-20:09:03.8551780	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f20eb5-8fd6-4d9d-b75e-36801766c8f1}	-	0x00000000 [操作成功完成。  ]	
75-20:09:03.8551780	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f210a1-62f0-438b-9f7e-9618d72a1831}\InprocServer32	-	0x00000000 [操作成功完成。  ]	
76-20:09:03.8561240	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f210a1-62f0-438b-9f7e-9618d72a1831}\ProgID	-	0x00000000 [操作成功完成。  ]	
77-20:09:03.8561240	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f210a1-62f0-438b-9f7e-9618d72a1831}\TypeLib	-	0x00000000 [操作成功完成。  ]	
78-20:09:03.8561240	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f210a1-62f0-438b-9f7e-9618d72a1831}\Version	-	0x00000000 [操作成功完成。  ]	
79-20:09:03.8561240	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f210a1-62f0-438b-9f7e-9618d72a1831}\VersionIndependentProgID	-	0x00000000 [操作成功完成。  ]	
80-20:09:03.8561240	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f210a1-62f0-438b-9f7e-9618d72a1831}	-	0x00000000 [操作成功完成。  ]	
81-20:09:03.8571240	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f24ca0-748f-4e8a-894f-0e0357c6799f}\InprocServer32	-	0x00000000 [操作成功完成。  ]	
82-20:09:03.8571240	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f24ca0-748f-4e8a-894f-0e0357c6799f}\ProgID	-	0x00000000 [操作成功完成。  ]	
83-20:09:03.8571240	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f24ca0-748f-4e8a-894f-0e0357c6799f}\TypeLib	-	0x00000000 [操作成功完成。  ]	
84-20:09:03.8581163	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f24ca0-748f-4e8a-894f-0e0357c6799f}\Version	-	0x00000000 [操作成功完成。  ]	
85-20:09:03.8581163	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f24ca0-748f-4e8a-894f-0e0357c6799f}\VersionIndependentProgID	-	0x00000000 [操作成功完成。  ]	
86-20:09:03.8581163	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f24ca0-748f-4e8a-894f-0e0357c6799f}	-	0x00000000 [操作成功完成。  ]	
87-20:09:03.8581163	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f26e02-e9f2-4a9f-9fdd-5a962fb26a98}\InprocServer32	-	0x00000000 [操作成功完成。  ]	
88-20:09:03.8591178	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{00f26e02-e9f2-4a9f-9fdd-5a962fb26a98}\ProgID	-	0x00000000 [操作成功完成。  ]	
