序号-时间	进程名	进程ID	动作	路径	参数	结果	
287-20:15:00.8701061	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{0003000A-0000-0000-C000-000000000046}\ProgID	-	0x00000000 [操作成功完成。  ]	
288-20:15:00.8701061	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{0003000A-0000-0000-C000-000000000046}\TreatAs	-	0x00000000 [操作成功完成。  ]	
289-20:15:00.8701061	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{0003000A-0000-0000-C000-000000000046}	-	0x00000000 [操作成功完成。  ]	
290-20:15:00.8701061	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\shell\edit\command	-	0x00000000 [操作成功完成。  ]	
291-20:15:00.8701061	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\shell\edit	-	0x00000000 [操作成功完成。  ]	
292-20:15:00.8701061	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\shell	-	0x00000000 [操作成功完成。  ]	
293-20:15:00.8701061	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.bmp	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
294-20:15:00.8701061	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.dib	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
295-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.rle	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
296-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.jpg	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
297-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.jpeg	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
298-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.jpe	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
299-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.jfif	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
300-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.gif	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
301-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.emf	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
302-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.wmf	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
303-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.tif	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
304-20:15:00.8711636	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes\.tiff	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\Applications\mspaint.exe\SupportedTypes 	0x00000000 [操作成功完成。  ]	
